date,Michael Bennet,Joe Biden,Michael Bloomberg,Pete Buttigieg,Jonh Delaney,Tulsi Gabbard,Amy Klobuchar,Deval Patrick,Bernie Sanders,Tom Steyer,Elizabeth Warren,Andrew Yang,Donald Trump,Joe Walsh,Wilimam Weld
2019-01-06,0,5,1,0,0,7,0,0,3,2,0,0,6,0,0
2019-01-13,0,4,1,0,0,6,1,0,2,0,0,0,6,0,0
2019-01-20,5,6,1,4,0,3,0,0,5,0,0,0,5,0,0
2019-01-27,1,5,2,2,0,2,1,0,5,0,0,0,4,0,0
2019-02-03,0,5,1,1,0,3,2,0,5,0,1,0,4,0,0
2019-02-10,1,7,1,2,0,2,9,0,3,0,1,0,4,0,0
2019-02-17,0,12,1,2,0,2,4,0,35,0,0,0,4,0,0
2019-02-24,0,8,1,1,0,1,1,0,13,0,0,0,5,0,0
2019-03-03,1,9,2,2,0,1,1,0,11,0,0,0,4,0,0
2019-03-10,0,15,0,8,0,2,1,0,8,0,0,0,3,0,0
2019-03-17,0,16,0,12,0,1,1,0,7,0,0,0,4,0,0
2019-03-24,0,12,0,17,0,1,0,0,5,0,0,0,3,0,0
2019-03-31,1,56,1,23,0,1,0,0,6,0,0,0,3,0,0
2019-04-07,0,15,0,19,0,1,0,0,7,0,0,0,3,0,0
2019-04-14,0,10,0,44,0,1,0,0,12,0,0,0,4,0,0
2019-04-21,0,61,0,20,0,1,1,0,11,0,1,0,3,0,0
2019-04-28,2,31,0,13,0,1,1,0,6,0,0,0,3,0,0
2019-05-05,1,19,0,8,0,1,1,0,4,0,0,0,3,0,0
2019-05-12,0,13,0,8,0,4,0,0,4,0,0,0,3,0,0
2019-05-19,0,12,0,15,0,2,0,0,4,0,0,0,3,0,0
2019-05-26,1,12,0,8,0,1,0,0,4,0,0,0,3,0,0
2019-06-02,1,10,1,6,0,1,0,0,4,0,0,0,5,0,0
2019-06-09,0,14,1,7,0,1,0,0,4,0,0,0,4,0,0
2019-06-16,0,16,0,7,0,1,0,0,4,0,0,0,4,0,0
2019-06-23,4,29,0,22,0,12,2,0,12,0,1,1,4,0,0
2019-06-30,1,14,0,9,0,3,1,0,6,0,0,0,4,0,0
2019-07-07,1,9,0,5,0,1,0,0,4,3,0,0,3,0,0
2019-07-14,1,8,0,6,0,1,0,0,4,1,0,0,4,0,0
2019-07-21,1,7,0,5,0,3,0,0,5,1,0,0,4,0,0
2019-07-28,3,23,0,12,0,23,1,0,11,1,1,1,4,0,0
2019-08-04,1,19,1,6,0,6,0,0,8,1,0,1,4,0,0
2019-08-11,1,13,1,5,0,3,0,0,7,1,0,1,4,0,0
2019-08-18,1,10,0,4,0,2,0,0,7,1,1,0,4,0,0
2019-08-25,0,11,0,3,0,4,0,0,6,1,0,0,4,1,0
2019-09-01,0,13,0,4,0,2,0,0,6,0,0,0,3,0,0
2019-09-08,1,22,0,9,0,3,1,0,9,1,1,1,3,0,0
2019-09-15,0,17,0,5,0,3,1,0,6,1,1,1,3,0,0
2019-09-22,0,32,1,4,0,4,0,0,6,1,1,1,6,0,0
2019-09-29,0,22,1,4,0,2,0,0,23,1,1,1,5,0,0
2019-10-06,0,15,1,4,0,2,1,0,11,1,1,0,5,0,0
2019-10-13,1,16,1,11,0,19,2,0,9,4,1,1,4,0,0
2019-10-20,1,9,2,9,0,13,1,0,7,1,1,0,4,0,0
2019-10-27,1,11,1,7,0,5,1,0,6,1,1,0,5,0,0
2019-11-03,1,10,24,9,0,5,1,0,6,1,1,0,5,0,0
2019-11-10,0,10,9,8,0,2,0,6,6,2,0,0,4,0,0
2019-11-17,0,16,4,21,0,6,2,2,7,3,0,1,4,0,0
2019-11-24,0,9,24,11,0,7,1,1,7,3,0,0,3,0,0
2019-12-01,0,27,8,11,0,5,1,0,6,2,0,1,4,0,0
2019-12-08,0,13,4,8,0,3,1,0,6,1,0,0,4,0,0
2019-12-15,0,17,4,12,0,8,3,0,8,3,1,1,14,0,0
2019-12-22,0,10,3,8,0,4,1,0,8,2,0,1,4,0,0
2019-12-29,0,12,3,7,0,3,1,0,10,2,0,1,6,0,0
2020-01-05,0,9,4,7,0,2,1,0,9,3,0,1,9,0,0
2020-01-12,1,15,8,12,0,2,3,0,22,5,1,1,4,0,0
